Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-31,3599.34,3599.34,3324.23,3418.59,69572521
2005-02-28,3457.14,3715.61,3427.07,3700.61,73682318
2005-03-31,3665.25,3768.76,3454.26,3625.79,66584338
2005-04-30,3624.76,3624.76,3352.17,3366.51,38722818
2005-05-31,3388.49,3619.98,3380.75,3597.23,39543561
2005-06-30,3558.33,3905.65,3558.33,3833.37,46009877
2005-07-31,3823.8,3979.37,3734.3,3979.37,45801274
2005-08-31,3971.52,4253.04,3971.41,4208.08,47557392
2005-09-30,4237.99,4679.13,4233.99,4600.22,62648534
2005-10-31,4556.05,4623.84,4095.94,4175.28,54061101
2005-11-30,4282.16,4475.26,4282.16,4473.89,65975434
2005-12-31,4500,4819.67,4495.46,4678.78,74376511
2006-01-31,4675.37,5055,4675.37,4913.75,84598909
2006-02-28,4888.75,5410.17,4797.39,5268.55,47181712
2006-03-31,5286.95,5419.39,4981.42,5257.06,46932600
2006-04-30,5307.98,5912.61,5266.42,5775.32,55182504
2006-05-31,5747.31,5943.8,5127.2,5148.75,76992772
2006-06-30,5231.39,5513.79,4678.66,5466.11,59433399
2006-07-31,5436.07,6167.36,5412.22,6150.51,42632714
2006-08-31,6141.79,6141.79,5601.8,5781.81,34583453
2006-09-30,5801.52,6103.34,5759.53,5818.04,59080657
2006-10-31,5785.71,6490.25,5783.71,6178.83,54989784
2006-11-30,6161.24,6623.97,6161.24,6615.4,145196420
2006-12-31,6697.44,7298.54,6635.96,7085.84,76703650
2007-01-31,7163.9,7874.61,6894.11,7874.61,88134344
2007-02-28,7938.75,8034.2,7172.41,7172.41,72669353
2007-03-31,7270.27,7947.35,6981.49,7899.72,73713732
2007-04-30,7823.08,8166.76,7786.9,8166.76,58876649
2007-05-31,8171.36,8732.06,7910.84,8685.96,79271900
2007-06-30,8769.05,9072.42,8583.39,8783.89,60441900
2007-07-31,8757.18,9075.36,8557.6,8949.92,72042159
2007-08-31,8766.47,8766.47,7695.56,8363.12,104938703
2007-09-30,8365.34,8795.65,7894.32,8426.28,52499950
2007-10-31,8452.58,9058.32,8377.36,8888.59,77415067
2007-11-30,8768.65,8814.73,7983.15,8111.72,89428128
2007-12-31,8118.71,8559.65,7856.07,7949.93,61819725
2008-01-31,7898.42,7898.42,6201.59,6590.34,134419584
2008-02-29,6698.34,6880.66,6190.29,6190.29,86884054
2008-03-31,6047.05,6673.26,5837.59,6630.64,92664671
2008-04-30,6679.53,6876.41,6363.27,6527.12,72762411
2008-05-31,6668.06,6972.74,6633.16,6905.94,76927546
2008-06-30,6826.94,6890.66,5954.17,6009.9,74186946
2008-07-31,5909.54,6896.94,5574.74,6825.58,115319227
2008-08-31,6680.22,6799.56,6175.4,6501.93,74464647
2008-09-30,6472.96,6750.66,5629.8,5956.56,105502230
2008-10-31,6123.27,6123.27,3373.67,4243.77,231459362
2008-11-30,4292.23,4506.96,3617.96,4050.37,128838138
2008-12-31,3955.93,4588.86,3944.43,4390.9,97783445
2009-01-31,4579.2,4691.71,3397.67,3490.86,144308367
2009-02-28,3357.69,3401.44,2334.67,2533.36,236680901
2009-03-31,2505.7,3178.51,2480.67,2798.54,202622695
2009-04-30,2756.69,3757.76,2756.69,3756.19,208030114
2009-05-31,3875.03,3985.74,3526.5,3526.5,154384593
2009-06-30,3658.81,3935.59,3658.81,3716.62,140321258
2009-07-31,3764.5,4765.78,3516.74,4763.16,137688929
2009-08-31,4861.64,5403.79,4474.25,5120.79,150464778
2009-09-30,4996.37,5423.14,4764.36,5182.25,138579378
2009-10-31,5296.33,5827.56,5132.59,5472.12,137716922
2009-11-30,5474.92,6119.36,5284.15,5825.44,133977377
2009-12-31,5921.9,6105.91,5723.91,5869.1,108158463
2010-01-31,5952.83,6264.05,5929.95,6012.89,126414411
2010-02-28,5973.02,5997.88,5440.9,5635.11,105023220
2010-03-31,5659.5,6197.02,5630.77,6158.17,116351254
2010-04-30,6296.58,6642.69,6162.14,6434.68,130215259
2010-05-31,6292.76,6307.98,5772.07,6307.98,118506576
2010-06-30,6160,6185.72,5740.82,5786.52,98945539
2010-07-31,5723.86,6308.74,5723.86,6124.18,91754671
2010-08-31,6242.19,6374.93,5821.74,5914.77,73807158
2010-09-30,5869.94,6706.49,5869.94,6647.09,156937018
2010-10-31,6646.7,7071.64,6646.7,7032.8,102128072
2010-11-30,7085.02,7269.51,6743.65,6849.68,104283138
2010-12-31,6938.98,7146.3,6921.28,6921.28,95958627
2011-01-31,6961.98,6973.88,6571.13,6737.23,130891039
2011-02-28,6779.55,6926.06,6615.61,6783.95,125610354
2011-03-31,6760.47,7116.59,6673.59,7091.76,128805907
2011-04-30,7129.07,7387.49,7129.07,7249.52,93090575
2011-05-31,7229.14,7280.94,6940.84,7112.78,112971492
2011-06-30,7131.9,7146.54,6695.43,6801.48,117062741
2011-07-31,6809.18,6935.58,6497.95,6614.05,101640618
2011-08-31,6671.03,6671.03,5199.66,6046.38,195701898
2011-09-30,5837.65,5920.8,4909.41,5455.82,181545684
2011-10-31,5296.53,6110.82,5222.6,5993.62,165722995
2011-11-30,5839.85,6012.03,5155.5,5609.71,130365476
2011-12-31,5589.16,5710.58,5301.34,5421.04,109744253
2012-01-31,5491.16,6031.18,5227.82,5952.73,303820853
2012-02-29,6054.52,6176.06,5851.61,5920.13,173874998
2012-03-31,5902.58,6116.99,5734.71,5894.31,167951300
2012-04-30,5903.22,5920.05,5493.69,5799.6,100166617
2012-05-31,5801.02,5801.02,5181.11,5421.52,93699796
2012-06-30,5349.41,6021.14,5163.3,6021.14,118940464
2012-07-31,5970.31,5972.14,5445.64,5666.5,120078349
2012-08-31,5646.84,6240.74,5631.61,6058.88,97784747
2012-09-30,6085.97,6562.22,5978,6279.65,119936439
2012-10-31,6301.26,6475,6215.96,6252.07,105963454
2012-11-30,6250.15,6338.9,6155.11,6306.33,102154103
2012-12-31,6314.87,6686.62,6314.87,6648.51,135395227
2013-01-31,6727.38,6727.92,6339.39,6346.89,232304277
2013-02-28,6377.37,6505.71,6342.59,6505.71,137526207
2013-03-31,6472.14,6587.43,6239.2,6369.16,141306075
2013-04-30,6404.9,6458.09,6127.43,6169.02,98293658
2013-05-31,6170.99,6740.05,6108.94,6724.27,136281890
2013-06-30,6634.05,6987.45,6389.79,6598.44,170734292
2013-07-31,6511.35,7142.75,6385.54,7133.06,125028145
2013-08-31,7203,7762.01,7203,7394.25,133021443
2013-09-30,7463.03,7838.16,6735.73,7692.6,157382248
2013-10-31,7658.41,8557.24,7658.41,8327.62,161716446
2013-11-30,8338.49,8544.22,8060.25,8455.78,101996211
2013-12-31,8436.3,8436.3,7911.64,8014.15,111764754
2014-01-31,8059.56,8526.14,7743.55,8327.41,190666092
2014-02-28,8324.04,8918.66,8256.72,8918.66,147656693
2014-03-31,8657.33,8749.83,8181.41,8749.83,202974058
2014-04-30,8724.77,8820.5,8425.05,8562.83,116540503
2014-05-31,8553.08,8553.08,8044.62,8362.53,266614410
2014-06-30,8347.38,8622.56,8046.3,8125.78,127788426
2014-07-31,8151.91,8193.67,7699.35,7699.35,111822295
2014-08-31,7658.65,8308.28,7658.65,8111.57,122248443
2014-09-30,8144.04,8819.46,8144.04,8694.03,127256869
2014-10-31,8651.72,8651.72,7914.46,8145.78,154366055
2014-11-30,8136.8,8258.6,7942.41,8229.12,94843709
2014-12-31,8178.4,8387.2,7802.03,7960.97,101227977
2015-01-31,7925.34,8095.67,7409,7715.41,228612181
2015-02-28,7748.82,7748.82,7530.56,7582.98,133553054
