Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-31,1924.89,1924.89,1811.03,1901.58,3565508
2005-02-28,1907.32,2001.24,1907.32,1924.21,2512173
2005-03-31,1915.96,1956.57,1865.51,1941.12,2406770
2005-04-30,1942.07,1997.27,1921.99,1997.27,1637738
2005-05-31,1988.74,2083.91,1961.22,2083.91,1254525
2005-06-30,2051.62,2174.43,2034.86,2157.44,1649042
2005-07-31,2149.34,2396.02,2149.34,2391.53,2518392
2005-08-31,2383.77,2614.84,2383.77,2550.82,3260157
2005-09-30,2561.27,2645.81,2548.64,2612.56,3072795
2005-10-31,2618.58,2640.16,2500.9,2604.5,1331268
2005-11-30,2591.31,2758.85,2591.31,2708.33,963871
2005-12-31,2721.1,3100.73,2721.1,3100.73,1659049
2006-01-31,3102.49,3813.84,3100.22,3656.72,3474364
2006-02-28,3640.75,4416.33,3578.44,4259.96,2295197
2006-03-31,4304.06,4910.98,4147.84,4870.23,4064705
2006-04-30,4831.42,5084.5,4804.71,4904.94,4894780
2006-05-31,4898.78,5076.74,4458.59,4531.26,4730256
2006-06-30,4510.92,4817.5,4135.62,4810.86,4755100
2006-07-31,4795.83,5685.14,4792.31,5574.47,4693391
2006-08-31,5577.94,5721.7,5352.99,5529.21,10302978
2006-09-30,5578.42,6058.16,5475.94,5985.56,14461961
2006-10-31,6004.8,7142.78,5990.98,6788.58,26011384
2006-11-30,6859.19,7829.97,6840.58,7719.34,27492531
2006-12-31,7857.91,8122.97,7562.6,7703.5,24969742
2007-01-31,7866.44,9557.89,7725.48,9460.68,40641466
2007-02-28,9614.33,10022.5,9012.49,9162,40198067
2007-03-31,9373.84,10778.8,8854.09,10761.7,101218819
2007-04-30,10651.1,12789.5,10608.6,11702.3,132558782
2007-05-31,11884.9,12124,10893.7,11625.9,83263205
2007-06-30,11597.6,11836.3,11249.2,11686,49264182
2007-07-31,11595.1,11946,10019.3,10093.8,32810891
2007-08-31,9748.38,10332.8,8843.87,10053.4,40921374
2007-09-30,10115,10803.8,9585.35,10076.4,33817147
2007-10-31,9966.84,10877.6,9839.22,10009.6,40598741
2007-11-30,9829.28,9850.89,7812.72,9098.51,95837901
2007-12-31,8937.55,9189.56,8577.39,8673.57,57993211
2008-01-31,8730.03,8801.69,6801.15,8023.68,98884718
2008-02-29,8181.79,8913.22,7854.22,8651.92,378492768
2008-03-31,8305.77,8718.31,8054.02,8654.27,73535987
2008-04-30,8753.63,8759.63,7745.21,8004.47,114611869
2008-05-31,8027.46,8259.35,7736.96,7985.14,55245117
2008-06-30,7864.18,7864.18,6754.71,6754.71,86595662
2008-07-31,6637.49,6709.3,5802.86,6656.68,77882016
2008-08-31,6598.51,6730.59,6363.84,6459.84,37436181
2008-09-30,6494.7,6852.88,5778.88,6021.32,56621759
2008-10-31,6077.12,6077.12,4309.11,4865.75,89482983
2008-11-30,4920.5,5139.15,4334.35,4555.14,67597788
2008-12-31,4461.93,4655.74,4271.35,4329.98,52019524
2009-01-31,4408.63,4511.66,3982.19,4083.53,50531082
2009-02-28,3964.07,4015.49,3637.55,3854.18,67874208
2009-03-31,3841.87,4268.9,3841.87,4136.62,85002711
2009-04-30,4129.72,4901.96,4108.07,4890.4,102030070
2009-05-31,4997.43,5053.71,4714.27,4838.36,108105987
2009-06-30,4954.69,5328.47,4943.27,5095.62,75106207
2009-07-31,5049.99,5451.88,4871.46,5374.86,69331692
2009-08-31,5433.22,5817.09,5272.84,5713.56,107568793
2009-09-30,5547.14,5614.05,5313.74,5444.55,89478054
2009-10-31,5440.21,5582.89,5269.36,5299.29,61046753
2009-11-30,5227.66,5282.9,5027.94,5138.84,77309381
2009-12-31,5187.99,5211.28,4988.37,5026.32,75620602
2010-01-31,5111.1,5416.25,5111.1,5286.92,113568197
2010-02-28,5255,5304.51,5016.65,5179.61,57294909
2010-03-31,5191.5,5902.4,5191.5,5894.43,92021350
2010-04-30,5911.69,6020.84,5794.52,5978.92,67286637
2010-05-31,5913.91,5913.91,5360.33,5616.28,53820697
2010-06-30,5588.35,5664.51,5361.43,5396.44,32912530
2010-07-31,5336.64,5759.1,5336.64,5755.24,37302264
2010-08-31,5807.95,5814.6,5603.53,5653.06,60462879
2010-09-30,5644.26,5937.31,5638.96,5839.34,62760717
2010-10-31,5789.92,5831.61,5568,5646.71,40841752
2010-11-30,5626.58,5707.8,5378.04,5388.39,38864647
2010-12-31,5396.23,5519.26,5389.92,5400.33,58711992
2011-01-31,5393.95,5439.25,5097.36,5155.84,47686586
2011-02-28,5131.51,5165.2,4890.4,5012.55,96537194
2011-03-31,5042.15,5052.1,4779.4,4861.37,77411097
2011-04-30,4832.07,4856.75,4675.72,4720.7,46223922
2011-05-31,4704.95,4706.83,4106.5,4278.79,67560053
2011-06-30,4289.29,4384.15,4186.2,4258.96,105156294
2011-07-31,4273.46,4436.8,3913.69,3948.52,48655410
2011-08-31,3948.58,3948.58,2826.29,2987.94,97524368
2011-09-30,2938.52,2943.8,2372.54,2393.1,88029699
2011-10-31,2355.59,2814.21,2355.59,2805.78,97595526
2011-11-30,2707.58,2753.66,2387.45,2458.94,104865268
2011-12-31,2459.32,2462.21,2278.46,2445.1,104415242
2012-01-31,2458.6,2746.51,2442.55,2746.51,128757256
2012-02-29,2785.58,2956.76,2762.43,2762.43,132351332
2012-03-31,2742.44,2742.44,2330.16,2371.62,170462552
2012-04-30,2375.65,2395.26,1881.78,2024.86,250808897
2012-05-31,2030.87,2080.98,1862.72,1953.76,298147722
2012-06-30,1935.92,1935.92,1556.71,1602.22,288404050
2012-07-31,1609.18,1653.02,1434.63,1473.46,383853504
2012-08-31,1455.98,1496.92,1339.87,1370.28,174702854
2012-09-30,1373.9,1687.14,1361.43,1661.81,371879538
2012-10-31,1658.44,1686.42,1567.53,1601.18,454935996
2012-11-30,1600.31,1678.39,1575.03,1656.36,170923030
2012-12-31,1662.3,1715.75,1662.3,1690.66,161047044
2013-01-31,1709.68,1831.85,1709.68,1817.11,110020174
2013-02-28,1813.21,1869.71,1751.12,1866.67,89367820
2013-03-31,1869.38,1880.65,1620.56,1677.23,185719468
2013-04-30,1662.52,1662.52,1546.88,1577.58,125976074
2013-05-31,1600.89,1832.7,1590.35,1832.7,161693397
2013-06-30,1794.33,1923.19,1794.33,1851.41,179355322
2013-07-31,1819.72,1842,1759.07,1831.05,430791605
2013-08-31,1821.08,1966.79,1808.9,1888.37,287664067
2013-09-30,1879.56,2010.06,1741.53,2010.06,414536434
2013-10-31,2005.98,2487.22,2003.13,2475.98,682234295
2013-11-30,2486.25,2501.23,2360.09,2436.21,451671141
2013-12-31,2419.65,2419.65,2144.27,2257.09,349551313
2014-01-31,2295.89,2356.66,2174.16,2352.55,586598498
2014-02-28,2360.41,2388.26,2320.53,2349.5,562660073
2014-03-31,2252.09,2327.48,2114.1,2297.23,580130993
2014-04-30,2321.36,2375.19,2215.5,2226.26,109502976
2014-05-31,2242.56,2245.11,2065.55,2143.79,89271165
2014-06-30,2140.87,2193.34,2028.78,2072.14,69575191
2014-07-31,2063.51,2063.51,1934.66,1938.54,44696605
2014-08-31,1938.78,2052.28,1928.66,2010.07,30330908
2014-09-30,2011.64,2225.92,2009.49,2225.92,91133108
2014-10-31,2207.64,2209.82,2144.8,2184.09,46828057
2014-11-30,2194.95,2201.4,2118.12,2167.96,33655284
2014-12-31,2154.96,2185.36,2074.73,2143.29,18597594
2015-01-31,2150.35,2311.85,2128.9,2311.85,15816071
2015-02-28,2317.87,2523.3,2314.43,2523.3,15642350
2015-03-31,2552.95,2637.86,2546.47,2591.26,18572053
2015-04-30,2591.75,2724.47,2591.75,2724.47,11484400
2015-05-31,2727.82,2848.53,2727.78,2777.68,15231027
2015-06-30,2803.72,2852.98,2650.98,2666.88,10068680
2015-07-31,2669.33,2897.29,2637.71,2886.67,9898251
2015-08-31,2900.71,3098.51,2741.3,2915.24,13456335
2015-09-30,2844.48,3005.95,2844.48,2916.59,8708186
2015-10-31,2943.87,3156.74,2938.59,3106.5,13914969
2015-11-30,3107.21,3161.86,3043.46,3130.23,25069612
2015-12-31,3126.47,3126.47,2716.69,2926.28,19008582
2016-01-31,2884.88,2884.88,2675.42,2781.07,18718912
2016-02-29,2779.54,2967.45,2751.01,2967.45,14174483
2016-03-31,2939.12,2939.12,2837.1,2896.7,22498439
2016-04-30,2918.55,2931.55,2823.6,2890.2,17101525
2016-05-31,2874.96,2874.96,2786.44,2826.51,12379315
2016-06-30,2786.57,2786.57,2466.02,2548.61,20360108
2016-07-31,2558.74,2730.17,2514.95,2713.81,23533116
2016-08-31,2705.05,2881.31,2680.82,2872.21,157729971
2016-09-30,2839.69,2995.48,2773.75,2945.73,55723659
2016-10-31,2943.61,2958.65,2863.07,2891.61,42450527
2016-11-30,2906.59,2906.59,2677.52,2808.62,48609566
2016-12-31,2811.79,2885.06,2751.1,2857.41,56939356
2017-01-31,2877.86,3168.04,2870.99,3158.51,81161645
2017-02-28,3163.74,3433.97,3153.96,3411.86,88193501
2017-03-31,3403.85,3874.84,3403.1,3518.62,242953607
2017-04-30,3529.8,3663.25,3496.56,3625.77,74791464
2017-05-31,3646.95,3707.83,3382.1,3382.1,52562994
2017-06-30,3429.5,3519.86,3415.97,3470.78,33402518
2017-07-31,3475.18,3546.1,3278.01,3298.25,31096576
2017-08-31,3316.7,3367.64,3249.37,3262.12,645843426
2017-09-30,3263.1,3315.44,3110.3,3125.87,209148089
2017-10-31,3133.98,3137.33,2739.76,2756.35,164490023
2017-11-30,2766.95,2851.83,2635.63,2784.43,128700990
2017-12-31,2788.68,2864.55,2718.29,2819.16,161115066
2018-01-31,2831.83,2884.55,2753.28,2806.66,39847646
2018-02-28,2802.24,2826.18,2609.86,2723.81,41981557
2018-03-31,2739.93,2891.94,2673.63,2688.22,40350018
2018-04-30,2690.46,2785.37,2558.43,2577.6,67948123
2018-05-31,2580.48,2645.25,2347.82,2354.49,117298686
2018-06-30,2355.01,2391.98,2139.9,2143.1,86340742
2018-07-31,2147.73,2224.78,2059.51,2184.37,55819565
2018-08-31,2175.9,2196.19,2062.12,2102.39,47418888
2018-09-30,2090.91,2106.26,1846.29,1895.85,37028429
2018-10-31,1909,1982.24,1860.81,1979.06,28870717
2018-11-30,1987.67,2000.42,1848.3,1954.84,24938863
2018-12-31,1967.26,2046.3,1868.61,1915,25316444
2019-01-31,1919.14,2004.99,1905.26,1915.51,19184277
2019-02-28,1920.42,2008.23,1908.66,1989.05,42862594
2019-03-31,2007.39,2227.26,1997.54,2197.18,34056186
2019-04-30,2200.34,2237.74,2117.06,2134.94,25195394
2019-05-31,2147.07,2147.07,1981.05,2001.64,25812508
2019-06-30,2005.73,2109.52,1975.72,2092.92,28684195
2019-07-31,2099.48,2138.09,2027.23,2054.7,32018171
2019-08-31,2056.25,2061.05,1944.55,1968.83,19117813
2019-09-30,1978.06,2035.22,1880.09,1880.09,40730587
2019-10-31,1895.74,1936.41,1850.12,1926.25,42457406
2019-11-30,1952.14,2177.6,1941.31,2165.31,29955445
2019-12-31,2175.8,2327.26,2157.83,2278.75,25806633
2020-01-31,2293.68,2494.67,2283.79,2424.52,56533480
2020-02-29,2418.99,2471.31,2131.9,2179.68,47779204
2020-03-31,2167.49,2337.22,1796.25,1928.43,60864379
2020-04-30,1934.4,2329.18,1905.88,2324.42,61673335
2020-05-31,2336.14,2773.33,2291.95,2669.2,98888169
2020-06-30,2694.95,2855.56,2558.48,2754.02,92810653
2020-07-31,2764.76,2976.22,2763.46,2891.48,77774737
2020-08-31,2888.75,3020.77,2871.51,2945.12,47204904
2020-09-30,2934.17,2991.16,2741.2,2991.16,47475045
2020-10-31,2994.11,3113.94,2708.21,2784.6,29544358
2020-11-30,2744.78,3239.27,2744.78,3239.27,28259404
2020-12-31,3246.89,3663.66,3142.26,3662.06,49849743
2021-01-31,3681.87,4082.4,3681.87,3896.69,99884798
2021-02-28,3888.16,4150.11,3881.37,4150.11,70449699
2021-03-31,4038.36,4098.74,3860.52,3958.96,56869805
2021-04-30,3963.47,4151.22,3947.82,4113.34,40499906
2021-05-31,4140.21,4280.84,4046.11,4276.05,43136929
2021-06-30,4298.99,4326.35,4186.95,4212.95,29055851
2021-07-31,4212.57,4354.19,4037.99,4354.19,25152160
2021-08-31,4374.74,4501.42,4334.99,4400.55,35484126
2021-09-30,4405.39,4572.32,4276.4,4295.18,51592920
2021-10-31,4303.8,4391.02,4074.95,4153.82,39782750
