Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-31,1306.07,1306.07,1199.8,1243.75,9814387
2005-02-28,1230.33,1334.71,1230.33,1333.1,10488173
2005-03-31,1322.01,1329.24,1200.65,1225.6,7925902
2005-04-30,1240.04,1244.18,1053.98,1053.98,5680115
2005-05-31,1044.54,1058.37,985.09,1048.58,5465544
2005-06-30,1035.08,1047.49,1012.19,1036.52,6201278
2005-07-31,1067.15,1189.59,1055.78,1167.44,7703936
2005-08-31,1169.42,1183.37,1136.25,1165.88,6213539
2005-09-30,1171.54,1216.75,1155.84,1164.29,7949806
2005-10-31,1163.95,1178.55,1122.71,1171.62,4804734
2005-11-30,1184.78,1200.72,1158.7,1179.06,5425996
2005-12-31,1181.35,1308.87,1176.28,1303.28,5277310
2006-01-31,1303.48,1531.72,1303.48,1416.89,12563687
2006-02-28,1397.06,1506.92,1385.16,1446.94,6892578
2006-03-31,1455.26,1479.69,1390.01,1465.58,8097945
2006-04-30,1465.96,1573.87,1465.96,1501.48,15738595
2006-05-31,1506.43,1605.32,1438.35,1439.23,15894354
2006-06-30,1443.82,1495.81,1320.39,1394.98,9131150
2006-07-31,1391.77,1576.84,1391.77,1576.84,6991317
2006-08-31,1570.13,1570.13,1461.8,1478.14,7006771
2006-09-30,1481.48,1570.79,1481.48,1537.16,7477328
2006-10-31,1543.33,1602.47,1527.99,1557.03,7979988
2006-11-30,1567.75,1716.83,1554.48,1716.83,15029210
2006-12-31,1733.28,1825.07,1722.21,1756.58,13685445
2007-01-31,1757.68,2146.65,1757.68,2041.93,14279369
2007-02-28,2068.39,2113.01,1955.57,1985.85,18094475
2007-03-31,1995.9,2111.21,1889.57,2111.21,119985458
2007-04-30,2094.83,2279.76,2094.83,2268.72,262847076
2007-05-31,2274.86,2298.94,2161.55,2277.25,123965572
2007-06-30,2284.56,2314.38,2218.68,2291.18,345066150
2007-07-31,2280.11,2418.49,2156.67,2241.96,98683225
2007-08-31,2176.74,2215.7,1920.12,2057.31,84172855
2007-09-30,2056.91,2060.54,1907.73,1971.78,90387762
2007-10-31,1962.07,2054.1,1940.73,1978.09,105919447
2007-11-30,1966.87,1974.17,1715.29,1771.34,117601215
2007-12-31,1782.08,1861.73,1718.7,1764.67,237773755
2008-01-31,1776.23,1779.54,1411.99,1565.13,374282767
2008-02-29,1598.91,1684.99,1532.03,1627.36,95741979
2008-03-31,1578.55,1647.06,1545.26,1647.06,67233433
2008-04-30,1654.26,1654.26,1507.15,1557.31,52691614
2008-05-31,1572.53,1590.9,1432.88,1432.88,27132511
2008-06-30,1443.59,1448.95,1290.46,1302.84,50888884
2008-07-31,1289.14,1296.22,1110.12,1296.22,36505744
2008-08-31,1277.1,1331.98,1255.91,1316.05,22349167
2008-09-30,1327.04,1407.7,1219.16,1264.77,26572278
2008-10-31,1268.73,1268.85,886.25,965.89,18030022
2008-11-30,965.16,1036.23,902.09,985.22,10918925
2008-12-31,978.94,1030.49,909.21,938.77,14245889
2009-01-31,950.69,975.12,888.83,923.58,8436160
2009-02-28,896.42,896.42,780.1,867.57,11234934
2009-03-31,869.17,916.09,854.13,891.3,95504485
2009-04-30,885.45,1074.25,885.45,1074.25,242506689
2009-05-31,1089.33,1153.77,1022.93,1078.69,80904072
2009-06-30,1104.79,1155.68,1080.14,1100.47,42184664
2009-07-31,1105.73,1214.26,1036.09,1214.26,61726822
2009-08-31,1220.08,1287.51,1151.29,1287.51,54906013
2009-09-30,1257.87,1301.26,1203.94,1249.91,56203006
2009-10-31,1247.75,1306.74,1166.38,1180.51,34692680
2009-11-30,1156.92,1206.67,1139.27,1180.29,37782781
2009-12-31,1195.28,1290.2,1195.28,1281.06,48153182
2010-01-31,1294.35,1294.35,1228.41,1253.87,44814970
2010-02-28,1250.01,1253.2,1139.13,1182.91,32074214
2010-03-31,1182.48,1259.95,1182.33,1248.42,72824454
2010-04-30,1245.95,1276.51,1219.03,1238.49,56297992
2010-05-31,1223.19,1232.5,1141.13,1217.62,33672925
2010-06-30,1199.34,1223.22,1159.69,1160.15,29309357
2010-07-31,1155.72,1224.09,1152.97,1190.22,31565808
2010-08-31,1201.12,1230.4,1185.15,1196.44,69806991
2010-09-30,1218.13,1225.18,1166.49,1171.73,154406677
2010-10-31,1171.27,1191.95,1146.69,1180.05,138998966
2010-11-30,1190.69,1217.23,1135.68,1135.68,62926759
2010-12-31,1165.81,1242.52,1165.81,1221.85,75270811
2011-01-31,1245.19,1274.26,1221.92,1252.78,66069806
2011-02-28,1254.69,1260.19,1221.62,1248.12,150715265
2011-03-31,1240.16,1328.87,1230.02,1318.44,133181470
2011-04-30,1313.26,1346.27,1302.14,1330.86,219275221
2011-05-31,1325.71,1352.4,1240.89,1352.4,189098838
2011-06-30,1340.79,1343.39,1236.99,1258.34,69914912
2011-07-31,1264.38,1264.38,1169.25,1183.93,90455710
2011-08-31,1182.36,1182.36,906.71,1034.71,147091351
2011-09-30,1005.34,1032.69,874.78,964.3,101002432
2011-10-31,942.66,1116.18,942.43,1116.18,139078647
2011-11-30,1059.58,1108.39,1002.85,1093.42,74316664
2011-12-31,1089.06,1102.96,1031.02,1079.26,43624195
2012-01-31,1077.69,1104.91,1036.49,1086.12,50808593
2012-02-29,1091.31,1245.5,1091.31,1220.74,113381401
2012-03-31,1205.06,1217.09,1119.26,1184.43,123407938
2012-04-30,1166.39,1186.18,1086.54,1118.09,62156635
2012-05-31,1119.13,1127.46,1050.95,1127.46,34494916
2012-06-30,1124.48,1151.27,1084.66,1137.4,60020535
2012-07-31,1134.09,1136.67,1048.36,1064.78,72521745
2012-08-31,1062.36,1084.73,1030.76,1037.38,53248577
2012-09-30,1042.98,1076.51,1023.94,1065.91,47100037
2012-10-31,1066.37,1079.08,988.23,998.29,60549730
2012-11-30,999.43,1073.55,989.22,1067.72,34109693
2012-12-31,1068.85,1129.85,1068.85,1118.85,38652538
2013-01-31,1132.95,1163.93,1107.35,1159.78,65153224
2013-02-28,1162.41,1162.41,1100.72,1140.99,58084382
2013-03-31,1144.4,1185.21,1077.28,1091.06,117076974
2013-04-30,1087.86,1102.99,1061.47,1096.22,578633582
2013-05-31,1095.85,1184.99,1077.28,1165.26,159824542
2013-06-30,1167.12,1200.02,1139.46,1160.39,105544395
2013-07-31,1155.63,1235.07,1150.94,1223.9,12726980
2013-08-31,1225.54,1267.35,1221.34,1261.01,21164436
2013-09-30,1266.17,1345.84,1162.4,1344.48,23099628
2013-10-31,1330.78,1435.46,1313.15,1416.41,29061220
2013-11-30,1430.8,1452.64,1413.71,1451.03,20367266
2013-12-31,1457.33,1457.33,1328.11,1363.92,20674644
2014-01-31,1373.15,1397.57,1308.64,1356.2,16297943
2014-02-28,1365.5,1379.03,1324.63,1379.03,15752994
2014-03-31,1317.74,1344.34,1262.17,1312.1,25730936
2014-04-30,1304.87,1312.46,1255.92,1284.33,16319150
2014-05-31,1280.97,1280.97,1224.97,1258.15,23095674
2014-06-30,1261.54,1285.74,1234.35,1247.43,24048269
2014-07-31,1246.46,1256.22,1185.31,1219.71,16379812
2014-08-31,1214.19,1255.1,1189.69,1237.51,21207838
2014-09-30,1247.89,1325.45,1244.03,1322.84,30408943
2014-10-31,1324.01,1365.36,1248.82,1365.36,23788310
2014-11-30,1361.74,1451.94,1358.19,1451.94,26884455
2014-12-31,1451.81,1461.13,1367.95,1386.48,23090984
2015-01-31,1389.19,1458.12,1383.79,1458.12,6809649
2015-02-28,1457.27,1475.45,1414.93,1475.45,6851709
2015-03-31,1482.53,1580.76,1482.53,1570.55,17236443
2015-04-30,1576.34,1628,1572.47,1616.44,13258945
2015-05-31,1622.22,1701.68,1579.78,1701.68,19807242
2015-06-30,1701.34,1709.55,1622.27,1639.99,23172106
2015-07-31,1668.39,1717.26,1649.53,1683.82,13062550
2015-08-31,1687.73,1714.91,1535.35,1573.44,16908363
2015-09-30,1559.95,1636.11,1559.95,1618.65,16719428
2015-10-31,1623.02,1696.68,1616.15,1696.68,14048449
2015-11-30,1703.81,1714.51,1627.61,1656.88,14732840
2015-12-31,1667.24,1667.24,1551.54,1611.73,15169094
2016-01-31,1599.84,1618.16,1536.06,1601.57,14714106
2016-02-29,1608.38,1632.1,1557.62,1616.82,10894484
2016-03-31,1630.76,1775.12,1630.76,1772.31,17806416
2016-04-30,1739.08,1815.12,1739.08,1756.56,22105647
2016-05-31,1767.92,1770.88,1691.72,1759.07,24479826
2016-06-30,1748.38,1748.38,1669.36,1714.45,16604778
2016-07-31,1722.49,1871.8,1696.89,1847.29,17585508
2016-08-31,1855.75,2062.09,1837.11,2062.09,18522187
2016-09-30,2054,2099.32,1994.68,2032.44,18587442
2016-10-31,2043.44,2043.44,1942.44,1973.71,18456689
2016-11-30,1966.87,2068.18,1879.94,2056.06,18471039
2016-12-31,2064.34,2188.41,2045.3,2155.4,25300044
2017-01-31,2158.1,2278.96,2158.1,2278.96,16530313
2017-02-28,2281.14,2343.88,2242.7,2321.99,26945454
2017-03-31,2335.29,2398.3,2291.21,2359.4,20406110
2017-04-30,2364.58,2380.65,2312.5,2372.02,10425822
2017-05-31,2388.66,2449.74,2284.17,2284.17,11119247
2017-06-30,2316.79,2369.52,2226.3,2287.84,14743918
2017-07-31,2287.31,2291.66,2123.03,2148.84,17151444
2017-08-31,2153.4,2155.24,2069.43,2110.98,18920323
2017-09-30,2091.76,2179.3,2069.94,2095.18,29409834
2017-10-31,2108.85,2115.87,2041.72,2105.09,23697507
2017-11-30,2098.06,2099.21,1918.47,2010.24,13105877
2017-12-31,2006.98,2051.2,1946.99,2041.8,12918646
