Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-31,2666.99,2690.35,2496.6,2599.3,3795831
2005-02-28,2598.8,2868.15,2597.89,2829.45,4964821
2005-03-31,2814.51,2833.7,2640.11,2726.81,4375404
2005-04-30,2735.68,2763.68,2567.71,2581.36,2892128
2005-05-31,2589.42,2683.23,2546.65,2674.44,3071130
2005-06-30,2660.24,2855.05,2642.74,2833.21,3930059
2005-07-31,2830.87,3048.84,2815.94,3044.83,4055741
2005-08-31,3040.8,3163.14,3037.02,3136.43,3973179
2005-09-30,3147.96,3434.35,3147.96,3380.12,5052567
2005-10-31,3389.81,3436,3110.98,3202.44,5143644
2005-11-30,3248.28,3401.78,3232.45,3392.61,7223072
2005-12-31,3401.21,3608.22,3396.08,3560.08,7022918
2006-01-31,3546.64,3955.78,3532.45,3785.5,10246968
2006-02-28,3742.32,4012.07,3713.48,3885.44,6063970
2006-03-31,3902.59,4031.71,3751.02,4022.03,7785893
2006-04-30,4019.91,4483.62,4019.16,4399.86,8664782
2006-05-31,4394.59,4589.46,3836.87,3963.23,9352902
2006-06-30,4000.95,4150.34,3476.83,4064.46,8357948
2006-07-31,4083.66,4619.47,4038.31,4589.49,7799893
2006-08-31,4611.82,4615.34,4205.96,4336.33,6743761
2006-09-30,4340.52,4511.55,4328.3,4405.25,9482400
2006-10-31,4429.71,4855.57,4372.54,4735.81,10638907
2006-11-30,4719.43,5063.05,4709.81,5023.03,13291802
2006-12-31,5060.18,5252.38,4972.54,5041.18,10827454
2007-01-31,5039.62,5480.44,4881.48,5455.82,12831384
2007-02-28,5500.46,5602.91,5136.5,5190.04,13172202
2007-03-31,5230.13,5775.94,4987.12,5752.46,29765316
2007-04-30,5719.75,6084.47,5674.8,5980.55,33939795
2007-05-31,6021.65,6372.23,5781.63,6356.62,21869342
2007-06-30,6380.63,6584.06,6225.93,6463.06,29802662
2007-07-31,6366.71,6397.94,5101.09,5266.17,47346267
2007-08-31,5169.44,5690.1,4763.47,5217.45,85605577
2007-09-30,5284.82,5697.39,5065.57,5509.96,47323624
2007-10-31,5495.67,6221.52,5402.98,5846.18,57742338
2007-11-30,5698.79,5743.47,4701.56,4890.1,73153854
2007-12-31,4820.39,4989.1,4484.76,4788.89,50937184
2008-01-31,4743.49,4790.4,3590.56,3953.66,86778721
2008-02-29,4044.6,4201.35,3854.2,3854.2,41984852
2008-03-31,3749.74,3941.76,3589.22,3941.76,36324275
2008-04-30,3950.09,4105.95,3563.98,3775.79,49219127
2008-05-31,3811.78,4027.48,3699.94,3732.49,27995862
2008-06-30,3728.64,3812.44,2845.48,2896.05,27235042
2008-07-31,2799.71,2799.71,2359.96,2652.29,51574690
2008-08-31,2654.11,2722.76,2360.5,2441.12,32556867
2008-09-30,2452.29,2626.09,2050.18,2119.62,46809754
2008-10-31,2144.08,2144.08,1228.9,1423.63,96765701
2008-11-30,1440.11,1502.92,1003.43,1335.09,76701426
2008-12-31,1263.54,1473.63,1225.68,1288.65,85744822
2009-01-31,1350.9,1398.33,1207.59,1269.16,149654604
2009-02-28,1219.42,1278.23,1104.04,1212.43,82682424
2009-03-31,1213.52,1569.76,1213.52,1463.51,157274244
2009-04-30,1438.15,1917.73,1438.15,1905.01,201602107
2009-05-31,1944.46,2030.32,1853.53,1970.04,139444283
2009-06-30,2024.43,2294.03,1976.21,2092.49,88679857
2009-07-31,2088.98,2379.59,1957.09,2359.65,120071524
2009-08-31,2365.6,3032.27,2334.89,2922.39,191281552
2009-09-30,2817.65,2976.96,2683.42,2905.23,125437439
2009-10-31,2946.32,3137.83,2848.88,2899.59,61346065
2009-11-30,2886.39,3144.63,2836.21,2955.04,67347810
2009-12-31,2995.5,3009.26,2808.76,2897.23,61195748
2010-01-31,2921.47,2963.41,2646.75,2661.07,83770822
2010-02-28,2636.51,2656.52,2464.49,2519.7,52519040
2010-03-31,2548.66,2898.13,2528.42,2886.17,139826780
2010-04-30,2911.43,3019.86,2822.97,2888.82,110108376
