Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-31,2666.99,2690.35,2496.6,2599.3,98691548
2005-02-28,2598.8,2868.15,2597.89,2829.45,129085296
2005-03-31,2814.51,2833.7,2640.11,2726.81,113760468
2005-04-30,2735.68,2763.68,2567.71,2581.36,75195323
2005-05-31,2589.42,2683.23,2546.65,2674.44,79849402
2005-06-30,2660.24,2855.05,2642.74,2833.21,102181595
2005-07-31,2830.87,3048.84,2815.94,3044.83,105449262
2005-08-31,3040.8,3163.14,3037.02,3136.43,103302625
2005-09-30,3147.96,3434.35,3147.96,3380.12,131366764
2005-10-31,3389.81,3436,3110.98,3202.44,133734749
2005-11-30,3248.28,3401.78,3232.45,3392.61,187799924
2005-12-31,3401.21,3608.22,3396.08,3560.08,182595854
2006-01-31,3575.39,3900.67,3575.39,3672.61,73540565
2006-02-28,3713.66,3768.79,3489.91,3489.91,83590682
2006-03-31,3543.74,3620.84,3347.85,3548.42,153407410
2006-04-30,3580.99,4027.31,3576.99,3905.15,129427383
2006-05-31,3900.9,3945.75,3222.26,3393.79,171583866
2006-06-30,3368.81,3500.36,2868.21,3289.38,139119526
2006-07-31,3301.89,3729.27,3293.58,3700.87,85887998
2006-08-31,3628.24,3628.24,3261.44,3278.18,116739870
2006-09-30,3314.59,3392.5,3013.03,3080.41,82627708
2006-10-31,3078.8,3259.43,3029.85,3040.87,118378575
2006-11-30,3035.81,3255.01,2983.34,3243.16,120128360
2006-12-31,3258.15,3349.4,3115.4,3149.1,115462228
2007-01-31,3185.99,3273.33,3027.27,3116.27,124277448
2007-02-28,3139.2,3200.06,2946.1,2946.1,92734056
2007-03-31,2982.32,3225.63,2821.01,3199.38,160493486
2007-04-30,3159.3,3361.56,3085.64,3103.14,94596818
2007-05-31,3138.1,3393.85,3138.1,3389.77,91060828
2007-06-30,3413.62,3879.45,3413.62,3761.01,95184084
2007-07-31,3731.94,4121.99,3729.94,3789.2,119417392
2007-08-31,3722.26,3928.97,3473.02,3828.8,94063696
2007-09-30,3850.21,3946.52,3680.28,3734.17,77810147
2007-10-31,3753.43,3993.4,3683.14,3916.46,90936043
2007-11-30,3894.11,3894.11,3462.43,3631.59,100111068
2007-12-31,3571.46,3821.21,3476.71,3548.43,100306506
2008-01-31,3587.09,3636.41,2838.86,2852.15,166248244
2008-02-29,2894.58,3014.99,2795.59,2807.8,154513184
2008-03-31,2712.3,2874.68,2598.92,2858.56,106943141
2008-04-30,2886.52,3054.54,2772.44,2850.98,104176838
2008-05-31,2862.89,2981.88,2759.74,2759.74,101342131
2008-06-30,2779.98,2804.84,2293.01,2320.08,102634378
2008-07-31,2274.6,2633.75,2225.56,2633.75,153462036
2008-08-31,2581.34,2613.58,2361.03,2366.69,110786396
2008-09-30,2369.62,2421.33,2135.26,2401.14,169382093
2008-10-31,2416.64,2416.64,1685.44,2017.55,208273286
2008-11-30,2038.82,2113.19,1739.69,1896.75,165681058
2008-12-31,1862.12,1948.99,1805.29,1889.46,112345169
2009-01-31,1958.71,2040.69,1690.45,1727.45,138780079
2009-02-28,1675.56,1729.01,1490.22,1607.27,161201998
2009-03-31,1622.54,1900.55,1614.46,1799.55,161414565
2009-04-30,1804.49,2095.52,1804.49,2008,147866480
2009-05-31,2077.43,2193.85,2001.43,2142.36,132719340
2009-06-30,2226.82,2419.79,2021.62,2065.02,146102289
2009-07-31,2085.36,2279.88,1931.55,2252.4,115007195
2009-08-31,2267.3,2348.63,2091.96,2231.72,128689973
2009-09-30,2181.02,2338.35,2079.8,2222.47,135320260
2009-10-31,2232.05,2387.4,2148.35,2255.58,204478075
2009-11-30,2214.34,2370.85,2173.68,2333.07,139006656
2009-12-31,2365.17,2471.01,2321.36,2435.46,115792408
2010-01-31,2501.68,2621.05,2434.74,2480.91,127755148
2010-02-28,2474.13,2527.23,2265.37,2345.69,130453480
2010-03-31,2349.76,2731.23,2344.14,2679.39,245185491
2010-04-30,2706.67,2734.03,2614.11,2721.98,114981521
2010-05-31,2681.68,2692.19,2467.42,2659.68,191234432
2010-06-30,2603.9,2683.51,2471.06,2482.82,180403996
2010-07-31,2477.58,2747.97,2477.58,2703.14,213692324
2010-08-31,2743.72,2845.06,2609.44,2686.02,152832444
2010-09-30,2673.45,2807.34,2673.45,2756.89,226986656
2010-10-31,2750.85,2871.26,2721.95,2866.44,197963992
2010-11-30,2893,3101.74,2875.06,2875.06,195564017
2010-12-31,2951.42,3218.47,2951.42,3079.41,176354393
2011-01-31,3129.56,3235.67,3021.3,3211.69,188439426
2011-02-28,3219.34,3284.22,3093.94,3204.82,384485034
2011-03-31,3187.2,3544.43,3163.05,3506.63,290751832
2011-04-30,3570.22,3776.58,3570.22,3683.51,293890499
2011-05-31,3658.69,3714.17,3497.37,3714.17,267801160
2011-06-30,3707.35,3707.35,3501.75,3554.7,214616164
2011-07-31,3604.96,3705.45,3248.43,3314.74,167939078
2011-08-31,3338.02,3345.23,2547.02,2893.53,331613610
2011-09-30,2832.58,2862.41,2483.06,2675.31,322697582
2011-10-31,2608.12,2874.08,2489.55,2812.98,259073807
2011-11-30,2751.96,2898.41,2628.59,2866.03,249427390
2011-12-31,2859.92,2864.04,2529.72,2567.58,244168879
2012-01-31,2583.84,2732.84,2502.11,2686.62,321766749
2012-02-29,2707.48,2780.68,2578.08,2600.66,267121938
2012-03-31,2587.03,2820.45,2570.49,2746.96,295422415
2012-04-30,2756.95,2829.64,2693.26,2732.55,212731047
2012-05-31,2739.61,2739.61,2467.21,2467.21,211442556
2012-06-30,2439.76,2753.62,2375.25,2744.11,201507480
2012-07-31,2768.78,2827.09,2574.52,2653.93,243629276
2012-08-31,2687.05,2882.55,2679.74,2787.07,160494159
2012-09-30,2815.83,3108.59,2812.06,3094.24,184428361
2012-10-31,3091.67,3131.84,2898.17,3033.52,358078962
2012-11-30,2988.14,3284.21,2943.57,3224.33,320984506
2012-12-31,3226.95,3723.7,3217.4,3571.11,195812878
2013-01-31,3684.35,3784.57,3534.25,3607.52,212451807
2013-02-28,3647.34,3927.73,3535.96,3849.49,152236221
2013-03-31,3865.21,4055.68,3665.91,3693.72,171434153
2013-04-30,3669.42,3725.6,3443.65,3527.9,178546304
