Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-31,2378.38,2427.37,2263.77,2425.87,8061004
2005-02-28,2409.18,2419.27,2337,2371.26,6663529
2005-03-31,2361.44,2373.01,2243.1,2297.52,5835308
2005-04-30,2288.13,2348.11,2187.23,2209.5,4783198
2005-05-31,2224.34,2239.79,2139.88,2239.79,3302982
2005-06-30,2232.2,2307.94,2227.18,2307.94,12328897
2005-07-31,2304.78,2353.95,2283.55,2330.38,8672214
2005-08-31,2319.32,2334.54,2255.3,2309.46,8682282
2005-09-30,2302.74,2342.34,2268.97,2342.34,5823919
2005-10-31,2339.01,2353.12,2233.95,2275.36,3062585
2005-11-30,2251.83,2333.19,2226.25,2333.19,5594352
2005-12-31,2326.13,2579.07,2326.13,2544.41,9008114
2006-01-31,2527.34,2833.84,2527.34,2794.9,15409101
2006-02-28,2770.77,3122.73,2756.01,3113.7,11792617
2006-03-31,3116.22,3151.98,2985.83,3151.98,9599830
2006-04-30,3151.03,3440.38,3147.9,3429.83,13280995
2006-05-31,3458.5,3657.23,3040.33,3242.49,9549785
2006-06-30,3232.84,3317.47,2865.34,3204.36,3651462
2006-07-31,3219.6,3410.53,3216.88,3410.53,5767710
2006-08-31,3388.44,3404.84,3293.66,3404.84,5318919
2006-09-30,3388.68,3573.07,3388.68,3568.2,6270814
2006-10-31,3572.12,3738.87,3511.58,3728.94,12696650
2006-11-30,3742.35,4566.43,3716.16,4556.89,18553181
2006-12-31,4546.49,4607.35,3717.79,3832.4,26070083
2007-01-31,3820.69,3943.58,3645.99,3866.19,11830604
2007-02-28,3874.54,4012.08,3762.51,3911.69,11682694
2007-03-31,3892.21,4073.25,3727.65,4073.25,31172997
2007-04-30,4096.05,4321.65,4085.66,4321.65,73888027
2007-05-31,4298.75,4551,4123.24,4540.11,39549633
2007-06-30,4608.75,4722.35,4393.08,4703.03,42171346
2007-07-31,4707.78,4707.78,4188.57,4316.13,37169251
2007-08-31,4186.27,4219.93,3512.74,4037.81,37862442
2007-09-30,4045.47,4048.21,3774.4,3791.62,29790462
2007-10-31,3732.28,3854.05,3654.86,3736.62,45126369
2007-11-30,3660.41,3682.9,2860.63,3240.2,79601603
2007-12-31,3193.68,3373.8,3168.43,3317.96,97532637
2008-01-31,3330.7,3371.57,2657.11,2892.08,80918191
2008-02-29,2931.99,3115.05,2821.99,2946.99,63980080
2008-03-31,2853.29,2961.81,2820.76,2897.56,44021117
2008-04-30,2872.18,2898.02,2504.78,2699.63,27547143
2008-05-31,2693.38,2713.45,2572.77,2625.93,23395093
2008-06-30,2617.77,2617.77,2250.14,2306.41,21399943
2008-07-31,2244.39,2244.39,1936.36,2050.44,49347822
2008-08-31,2046.16,2110.22,1932.44,2036.97,42098111
2008-09-30,2025.29,2050.63,1588.32,1837.85,37877656
2008-10-31,1836.69,1855.18,1395.23,1483.92,33627000
2008-11-30,1525.36,1540.32,1391.81,1455.7,34047445
2008-12-31,1431.39,1464.46,1341.65,1354.52,22335541
2009-01-31,1372.72,1485.77,1372.72,1425.55,62209801
2009-02-28,1394.83,1499.06,1342.63,1376.88,69523977
2009-03-31,1356.17,1458.18,1288.99,1407.21,265116553
2009-04-30,1403.4,1867.94,1403.4,1867.94,113367275
2009-05-31,1925.35,2384.21,1919.74,2355.96,98287804
2009-06-30,2377.04,2389.07,2161.88,2290.99,99926590
2009-07-31,2293.06,2710.96,2154.88,2710.96,154878788
2009-08-31,2807.99,2993.39,2757.89,2892.72,64508106
2009-09-30,2824.5,2926.83,2614.12,2879.13,68079688
2009-10-31,2871.44,3141.66,2808.06,3088.79,23160105
2009-11-30,3095.61,3141.74,2956.42,3104.08,43728131
2009-12-31,3094.59,3168.9,3000.07,3063.84,31621253
2010-01-31,3037.24,3271.99,3037.24,3209.01,26081233
