Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-31,1027.71,1027.71,938.93,1006.32,75348824
2005-02-28,1014.39,1172.87,1002.66,1152.73,114991025
2005-03-31,1135.55,1150.4,991.23,1072.75,100037407
2005-04-30,1064.82,1089.46,939.77,945.39,72616100
2005-05-31,947.64,986.59,936.08,973.96,85593787
2005-06-30,971.36,1061.3,970.24,1061.3,97903314
2005-07-31,1060.37,1172.29,1058.91,1172.29,110670120
2005-08-31,1169.75,1201.67,1123.33,1155.79,93778972
2005-09-30,1179.04,1312.01,1166.26,1269.81,110524479
2005-10-31,1253.86,1305.51,1106.5,1202.28,107264261
2005-11-30,1214.4,1275.35,1214.4,1251.45,117197395
2005-12-31,1244.36,1269.29,1230.66,1238.2,126042088
2006-01-31,1236.99,1337.13,1219.02,1220.9,107839885
2006-02-28,1220.52,1243.1,1166.43,1166.43,104248130
2006-03-31,1171.35,1203.97,1100.4,1191.83,139976967
2006-04-30,1217.85,1282.31,1158.17,1224.65,155190831
2006-05-31,1237.99,1238.54,1053.89,1088.5,143946531
2006-06-30,1086.12,1123.36,999.05,1101.69,131494963
2006-07-31,1100.89,1171.79,1063.64,1156.04,101880873
2006-08-31,1146.26,1162.77,1053.93,1108.66,89775657
2006-09-30,1110.86,1197.31,1100.4,1100.4,94970715
2006-10-31,1088.48,1248.35,1088.48,1237.12,134877482
2006-11-30,1246.04,1362.6,1235.04,1235.04,97968226
2006-12-31,1253.63,1355.21,1253.63,1340.01,58917055
2007-01-31,1341.18,1460.36,1261.6,1386.69,91482906
2007-02-28,1418.66,1442.71,1232.11,1232.11,70703920
2007-03-31,1245.17,1332.39,1213.09,1295.82,110333798
2007-04-30,1274.99,1311.97,1208.27,1227.61,95746410
2007-05-31,1243.17,1280.36,1210.86,1238.08,95678592
2007-06-30,1249.64,1423.17,1239.26,1404.89,130828925
2007-07-31,1384,1411.39,1282.07,1286.77,178072952
2007-08-31,1265.01,1276.27,1150.41,1244.62,114269945
2007-09-30,1249.62,1298.23,1201.19,1206.44,121407898
2007-10-31,1224.15,1351.91,1188.43,1327.02,125802209
2007-11-30,1313.64,1331.95,1197.74,1258.25,69732569
2007-12-31,1288.62,1395.04,1270.21,1270.21,96127393
2008-01-31,1291.21,1308.28,1137.19,1288.58,137133981
2008-02-29,1319.95,1331.93,1233.65,1233.65,80819835
2008-03-31,1206.65,1287.12,1195.14,1234.89,72165217
2008-04-30,1230.69,1241.09,1200.59,1240.02,75942402
2008-05-31,1261.17,1275.6,1214.23,1214.23,46458451
2008-06-30,1212.99,1310.88,1190.86,1206.28,77123582
2008-07-31,1225.37,1382.16,1216.71,1330.37,107183297
2008-08-31,1340.91,1404.41,1308.14,1326.45,71266839
2008-09-30,1319.18,1368.69,1223.72,1308.86,115554437
2008-10-31,1343.48,1345.72,1020.29,1172.84,148762473
2008-11-30,1161.24,1170.18,1072.1,1124.61,118753662
2008-12-31,1102.26,1164.63,1061.04,1107.33,94759585
2009-01-31,1156.58,1210.75,1142.82,1142.82,81300705
2009-02-28,1138.93,1141.04,1035.63,1035.63,96666567
2009-03-31,1062.3,1165.87,1043.92,1103.16,109424718
2009-04-30,1108.89,1188.19,1060.71,1072.42,153880003
2009-05-31,1081.58,1087.47,994.05,1013.64,128397094
2009-06-30,1044.73,1089.82,1010.61,1029.39,101859625
2009-07-31,1059.67,1091.44,1026.48,1044.2,119489216
2009-08-31,1041.92,1156.29,1021.84,1118.81,136282104
2009-09-30,1111.56,1162.07,1087.99,1095.91,114000262
2009-10-31,1106.33,1269.25,1082.82,1163.29,128219957
2009-11-30,1159.84,1177.04,1101.47,1121.78,79220420
2009-12-31,1138.5,1183.15,1124.21,1128.79,78307173
2010-01-31,1140.97,1176.78,1123.19,1138.8,61699752
2010-02-28,1140.5,1140.5,1057.21,1106.59,79731618
2010-03-31,1111.29,1190.74,1090.02,1161.2,100570577
2010-04-30,1186.94,1187.88,1149.11,1149.38,72939566
